source,target,time_duration,traffic_density,bandwidth
39.9420116.3030,39.9420116.3000,18.000000008554,0.019549726875472,0.5408441812034573
39.9420116.3040,39.9325116.3040,76.0,0.0199848969716415,0.5950216320601883
39.9420116.3040,39.9370116.3040,62.0,0.0309765903060299,0.3585302343771571
39.9420116.3040,39.9420116.3030,6.000000003153335,0.019549726875472,0.5408441812034573
39.9625116.3040,39.9625116.3020,60.0,0.0977779355280712,0.7669820301830258
39.9695116.3040,39.9765116.2950,60.0,0.0152525093772447,0.9274740094119548
39.9855116.2950,39.9930116.2900,60.0,0.0177976567769675,0.336338522241697
39.9930116.2900,40.0010116.2830,47.0,0.0121909248962918,0.7997283922100873
40.0010116.2830,40.0010116.2840,60.0,0.1956660919439672,0.4692573585584296
40.0010116.2830,40.0095116.2830,56.66666666671849,0.0166540808097099,0.6499538345926265
40.0100116.2830,40.0100116.2860,60.0,0.0652306295139971,0.4641162200466903
40.0100116.2860,40.0100116.2980,60.0,0.0163076573900839,0.4299290548284619
40.0100116.2980,40.0175116.3150,61.0,0.0101415640157275,0.808787006393015
40.0175116.3150,40.0175116.3310,60.0,0.0122320871774087,0.8638872327723192
40.0175116.3310,40.0175116.3490,60.0,0.0108729663838028,0.5648984353626227
40.0175116.3490,40.0175116.3660,60.0,0.0115125526395657,0.4575092131049391
40.0175116.3660,40.0175116.3820,60.0,0.0122320871774087,0.5510396071862768
40.0175116.3820,40.0175116.3990,61.0,0.0117044285168918,0.4260222742838374
40.0175116.3990,40.0175116.4160,60.0,0.0115125526395657,0.9893416382243406
40.0175116.4330,40.0175116.4320,5.000000003805336,0.0163094495603092,0.8736981229018386
40.0175116.4650,40.0110116.4810,61.0,0.0109855836000873,0.5855570394225716
40.0110116.4810,40.0010116.4910,60.0,0.011899066693551,1.0106144409505144
40.0110116.4810,40.0110116.4690,60.0,0.0163078963072124,0.3790785903771454
40.0010116.4910,40.0010116.4960,60.0,0.0391332183941172,0.4784704780872507
40.0010116.4960,40.0100116.5080,60.0,0.0116514114583465,0.7387390948644955
40.0100116.5080,40.0185116.5230,60.0,0.0104882512365451,1.001558461477624
40.0185116.5230,40.0245116.5400,61.0,0.0106304420429182,0.3956807338131695
40.0185116.5230,40.0120116.5100,60.0,0.0126058103764306,0.816248078561563
40.0245116.5400,40.0310116.5580,60.0,0.0098357466536926,0.930754580907104
40.0310116.5580,40.0260116.5440,60.0,0.0126712935330938,1.0071101861738885
40.0310116.5910,40.0255116.6030,60.0,0.0139963290732455,0.823874026181737
40.0310116.5910,40.0310116.5740,56.66666667712818,0.0108751181196576,0.5148723924687924
40.0255116.6030,40.0360116.6080,62.0,0.0138582870830189,0.6075982137346974
40.0360116.6080,40.0425116.6080,60.0,0.0230594965057723,0.475521022059391
40.0425116.6080,40.0535116.6080,60.0,0.0136260661170345,0.6142504665097633
40.0535116.6080,40.0535116.6100,58.0,0.0946447558019288,0.365327646896694
40.0535116.6080,40.0535116.6060,43.0,0.0701676637841886,0.4084065518799329
40.0535116.6080,40.0485116.6080,2.0,0.0009992448485828,0.2647474649590373
